text,label
" Many 'lost' voters say they have found their candidate in Trump WASHINGTON/NEW YORK (Reuters) - Ted Wade hasn’t cared about politics enough to cast a vote in a U.S. presidential election for almost a quarter of a century, back when he supported Ross Perot’s independent candidacy in 1992. But Republican Donald Trump’s 2016 White House bid has motivated Wade to get involved and he plans to support the real estate mogul in Nevada’s nominating caucus next month. Trump is a “non-politician” who can fix the “chaos” in Washington, he says. About one in 10 Americans who plan to cast a vote this election will do so for the first time in years, if ever, and Trump holds a decided edge with them, according to polling by Reuters/Ipsos. (tmsnrt.rs/1SgeLvi) These voters offer Trump a pool of voters who could be decisive either in the Republican primaries or a general election. They could be crucial for Trump in early-voting states such as Iowa and South Carolina, where his nearest rival, Senator Ted Cruz, is putting pressure on Trump and enjoys a strong base of support with more traditionally conservative voters. In Reuters/Ipsos polling from June to December 2015, 27.3 percent of these “new” voters said they would vote for Trump, higher than his poll numbers among independents and Republicans who regularly vote. By way of comparison, Cruz captures just 3.4 percent of these voters. And Senator Marco Rubio of Florida snags only 4 percent. “I’m tired of the chaos between Democrats and Republicans and want to give somebody a try who I think can make a difference,” said Wade of Trump. The 51-year-old has already switched his affiliation from Democrat to Republican and even attended a Trump campaign event in Las Vegas. He has told his three older children to get involved in the elections, although he did not say whether he wanted them to vote for Trump.  Trump, the Republican front-runner, has made targeting “lost” voters such as Wade a focus of his campaign. His anti-immigrant rhetoric and protectionist trade proposals have helped him to fashion a message tailored to reach Americans alienated by the endless enmity between the political parties and who, because of declining economic prospects, may feel like neither party has done much for them. Trump’s strategy is a gamble, given the lack of reliability of many of the voters with whom he is most popular. In interviews, some of those lost voters insist they will show up, saying they are drawn to Trump’s outsider status and his willingness to upend the political system. Tucson, Arizona, resident Renay Cunningham, 56, said she had never paid much attention to politics in the past. She plans to cast her first ever vote for Trump after hearing his proposed policies to curb illegal immigration, which include building a giant wall on the southern border and making Mexico pay for it. “We need a piranha in there, and he’s definitely a piranha,” she said. Trump and his operatives are confident they can do what few of his rivals for the Republican nomination have shown they can do — expand the party’s potential voter pool. But while Democrat Barack Obama did that eight years ago by largely registering new voters, including record levels of minorities, both male and female, in urban centers, Trump’s campaign has instead largely sought out the disaffected, who tend to be overwhelmingly older, white, and less educated than the broader electorate. “My whole campaign has been focused on expanding the number of people who want to, and will, participate in this election cycle,” Trump wrote in a recent op-ed in USA Today. When analyzing “lost” or “new” voters, Reuters compiled poll results from people who haven’t voted in the previous two presidential campaigns and midterm congressional elections. The results focused only on those who said they were nearly certain to vote in the November election. It included responses from 3,440 “new” Republican and independent voters – a sample that has a credibility interval of 2 percentage points. Jan Leighley, an expert on turnout at American University, said it’s too soon to compare Trump’s “new” voters with the disenfranchised voters, especially minorities, who in 2008 turned out in record numbers to elect the first black president. Those voters didn’t find their way to the polls simply because they were inspired to make history, Leighley said. “He also had a kick-ass mobilization structure.” “Obama’s campaign went door-to-door. They canvassed whole neighborhoods. “I don’t know if he (Trump) has the campaign infrastructure to make sure that the folks who are riled up are walked to the polls on Election Day,” she said. Trump’s campaign insists he does have the infrastructure, but won’t provide specifics on how it intends to turn casual supporters into engaged voters. The campaign says it does follow up with the thousands of attendees who jam arenas for Trump’s rallies. That’s one significant advantage the reality star has over the other candidates in the Republican field, as the challenge in reaching voters who have fallen out of the political process often lies in simply locating them. “We’ve identified a lot of people in early primary states who have not participated in the process before,” campaign manager Corey Lewandowski told Reuters. Lewandowski resists the notion that Trump needs to turn out “new” or reluctant voters to win states such as Iowa. Even if the Trump campaign isn’t necessarily counting on them, it may be reassuring that his supporters among “new” voters who responded to the Reuters/Ipsos survey appear motivated to cast a vote for him. At least for the time being. Ronald Thomas, a 49-year-old truck driver and Navy veteran in North Carolina, said he, too, has never voted in a presidential contest. His girlfriend would push him to vote but he would always say “Yeah, but the right one ain’t come along yet,’” Thomas said. Trump is that man. His willingness to take on the government has set him apart as someone who would “actually look out for the people,” said Thomas. Now he wants to know how to register so that he can vote for the billionaire.  And there’s Vince DiSylvester, a retired maintenance worker in Missouri, who, at 73, said has never cast a ballot for president. But Trump has inspired him to rethink that. “He’s a businessman, he knows business, he knows how to get things done,” he said. “And he tells it like it is. If you don’t like it - well, too bad.”  (Editing by Ross Colvin) SAP is the sponsor of this coverage which is independently produced by the staff of Reuters News Agency.",FAKE
" Iranian Revolutionary Guards commander, another fighter, killed in Syria: Iranian media BEIRUT (Reuters) - A commander in Iran s elite Revolutionary Guards and a lower-ranking Iranian fighter have been killed fighting Islamic State in Syria in recent days, Iranian media reported on Sunday. The Revolutionary Guards, Iran s most powerful military force which also oversees an economic empire worth billions of dollars, have been fighting in support of Syrian president Bashar al-Assad for several years. An Iranian official told the Tasnim news agency last year that more than 1,000 Iranians have been killed in Syria. Senior members of the Guards have been among those killed. Kheyrollah Samadi, a Guards commander in charge of a unit in Syria, died on Thursday in fighting in the Albu Kamal region, bordering Iraq, according to Fars News. Samadi was killed in clashes with Islamic State, according to the Ghatreh news site. Iranian media have previously reported on fighting in that area between Iran s Shi ite militia allies and Islamic State. The Syrian army and its allies took complete control over Albu Kamal, Islamic State s last significant town in Syria, a military news service run by Hezbollah said on Sunday. Samadi, who fought in the Iran-Iraq war during the 1980s and had retired from the Iranian military before signing on to go to Syria, was killed by a mortar explosion, Fars News, a news agency, said. Iranian news sites posted pictures on Sunday of Samadi with Qassem Soleimani, head of the Guards branch responsible for operations outside Iran. The lower-ranking Iranian fighter, Mehdi Movahednia, was killed on Saturday in clashes with Islamic State in the town of Mayadin in eastern Syria, Fars News reported. The Revolutionary Guards initially kept quiet about their role in the Syria conflict. But in recent years, as casualties have mounted, they have been more outspoken about their engagement, framing it as an existential struggle against the Sunni Muslim fighters of Islamic State who see Shi ites, the majority of Iran s population, as apostates. On web sites linked to the Guards, members of the organization killed in Syria and Iraq are praised as protectors of Shi ite holy sites and labeled  defenders of the shrine . U.S. President Donald Trump last month gave the U.S. Treasury Department authority to impose economic sanctions on members of the Iranian Revolutionary Guard in response to what Washington calls its efforts to destabilize and undermine its opponents in the Middle East. ",FAKE
" Cambodian leader gets China's backing as West condemns crackdown PHNOM PENH (Reuters) - Cambodian Prime Minister Hun Sen won words of support from China on Monday after the United States and European Union condemned the arrest of his main rival and a widening crackdown on his critics before next year s election. A day after Kem Sokha was arrested in a midnight raid on his house, one of his deputies said donor countries should open their eyes to Cambodia s  false democracy  and put more pressure on Hun Sen. When asked about Kem Sokha s arrest at a press briefing in Beijing, Chinese foreign ministry spokesman Geng Shuang said China  supports the Cambodian government s efforts to protect national security and stability.   Opposition politicians, rights groups and independent media have come under growing pressure as next year s election approaches. It could represent Hun Sen s greatest electoral challenge in more than three decades in power. One of China s closest allies in the region, Hun Sen has increasingly ignored criticism from Western donors, whose budget support is no longer as critical as it during the early years of his rule, when Cambodia was little more than a failed state.  We cannot allow foreigners to use Khmers to kill Khmers  any more,  Hun Sen said on Monday, referring to the Khmer Rouge genocide that destroyed Cambodia in the 1970s. Hun Sen, 65, is a former Khmer Rouge soldier who switched sides. Sokha was allowed to see a lawyer on Monday at his prison several hours from Phnom Penh near the border with Vietnam.  I may lose freedom, but may freedom never die in Cambodia,  Kem Sokha was quoted as saying in a post on Twitter that was repeated by his daughter, Monovithya Kem. The European Union called for his immediate release, based on the fact that he is meant to have parliamentary immunity, as an elected lawmaker.  This arrest suggests a further effort to restrict the democratic space in Cambodia,  the EU said in a statement. The U.S. State Department expressed  grave concern  at Sokha s arrest on charges it said appeared to be politically motivated. It said in a statement it was also worried about other curbs on media and civil society. Hun Sen has steadily increased his rhetoric against the United States, ending joint military exercises, expelling a U.S. pro-democracy group and on Sunday accusing Washington of conspiring with Kem Sokha. U.N. High Commissioner for Human Rights Zeid Ra ad Al Hussein said he was seriously concerned about the arrest, noting that it was on the basis of the video of a speech he had made in 2013 and which had been publicly available since then. One of Kem Sokha s deputies, Mu Sochua, said the opposition had done as much as it could and would not call for demonstrations because it believed in non-violence. She called on donors to help.  There isn t true peace. There has always been a false democracy,  said Mu Sochua, 63, who is one of three deputies to Kem Sokha in the Cambodia National Rescue Party (CNRP).   The international community have been willing to close their eyes and play along with it. Right now all the red lines have been crossed,  she told Reuters in an interview in Phnom Penh. An independent newspaper that had often been critical of Hun Sen published its last edition on Monday, saying it had been forced to close after being given one month to pay a crippling $6.3 million in back taxes . Its final headline, on the arrest of Kem Sokha, was  Descent Into Outright Dictatorship . ",FAKE
"  Ex-KKK Grand Wizard: Maine Gov. Right To Call Out Black Men’s ‘Defilement’ Of White Women David Duke is perhaps one of the most notorious Grand Wizards of the Ku Klux Klan alive today. He also had quite a bit to say about Maine Governor Paul LePage s recent racist rant. LePage suggested that black drug dealers are coming into his state and selling drugs, and while they re at it, getting white women pregnant.Of course, the backlash was ferocious for LePage s remarks, and he tried to walk them back.  But David Duke, being the vile racist that he is, devoted airtime on a recent edition of his radio show to defend LePage. Calling LePage s racism the Trump effect of people not talking in politically correct manner,  Duke said: You are probably picking yourself off the floor to think that an elected governor in the United States of America would actually talk about this horrible destruction and defilement of young white women. These are not Anglo-Saxon guys from rural Maine doing this. These are, again, like the Puff Diddys   or whatever they want to call themselves   from New York. So, a black man having sex with a white woman is  defilement.  These remarks are especially egregious, considering the history in the United States of black men being lynched at the drop of a hate when a white woman cries rape. In the eyes of racists, there is nothing worse than a white woman coupling with a black man. If David Duke thought the historical context of what he is saying here would be lost on the rest of us, he is dead wrong.Duke also had a guest on his show who echoed his racist beliefs, Pastor Mark Dankof. Duke and Dankof then turned their attentions to Democratic Presidential frontrunner Hillary Clinton, because of her speaking out against police brutality against people of color. Duke said to Dankof: Isn t this the same Hillary Clinton who has constantly told us about black people being victimized by police? She says that this is a racist problem that police are shooting down blacks. When the fact is, they shoot down proportionally a far higher capita of a white person who acts criminally. This is a lie, of course. See the Bundy militia for Exhibit A. If those were black people, they d have been dead the first day. And that, ladies and gentlemen, is white privilege. But then again, of course the likes of David Duke would never understand that, and nor would he want to.Duke s full comments can be heard here, at his media archive.Featured image via screen capture from Raw Story",FAKE
 FINGER-WAGGING GRANNY HILLARY CLINTON Blows Up At Activist Confronting Her At Rally [Video] Hillary Clinton shows her true colors here with a finger wagging moment on the campaign trail: ,FAKE
"  Joe Scarborough Defends President Obama’s Emotional Announcement On Gun Control (VIDEO) While it s often difficult to notice, Joe Scarborough is one of the remaining few  reasonable  Republicans. Of course, this has a lot to do with his party s radical shift to its far-right flank, backed with the ascension of Donald Trump. Consequently, certain Republicans such as Scarborough, who at one time sounded radical, sound rational today. To his credit, Scarborough has often sidestepped partisanship to give credit where credit is due.Such was the case Wednesday morning when the host of MSNBC s Morning Joe vocally defended President Obama s executive order on gun control.Scarborough and co-host Mike Barnacle elaborated on the president s announcement, and agreed that expanding background checks for gun sales is an eminently reasonable action to take. Scarborough made sure to underscore for his unhinged conservative viewers that Obama didn t say anything about grabbing any guns. He also validated the president s genuine sadness and anger when mentioning Sandy Hook during his remarks.Via Media Matters:SCARBOROUGH: You see the frustration, don t you, in every press conference after every mass shooting, the president being frustrated by his inability to get anything done even when 90 percent of Americans support stronger background checks.BARNICLE: Absolutely, Joe. And living with the knowledge that you have to provide more information to become a Little League baseball coach than you do to a gun show.SCABOROUGH: Look at this. So if you re driving, a lot of people are listening to us as they drive into work. We re showing a Quinnipiac University poll that actually shows 89 percent of Americans support background checks for gun purchases at gun shows. Eighty-seven percent Republicans, 87 percent. And as other pollsters have told us, up to 80 percent of Republicans in early primary states, who vote in early primary states, support background checks. And, this is not a prediction. I m just going to tell you how it s going to be. There are going to continue to be mass shootings. Terrorists are going to continue to do it over the next decade. And the things that I ve been talking about on background checks and all of us have been talking about and the president has been talking about, Republicans, it s going to be the Republican position within the next two, three, four years. I say Jim VandeHei, one of the things that was most astounding yesterday was the reaction. The Pavlovian reaction from Republicans over a set of actions that really weren t far reaching. And even the White House will tell you, they were modest at best. He hopes he can do something to start the gun show loopholes so terrorist can t walk in and buy guns. But it wasn t even that, and I m not knocking him, it wasn t that sweeping. Nobody got any guns taken away yesterday.And, of course, Joe is correct. According to a recent Quinnipiac poll, 95 percent of Democrats and 87 percent of Republicans support background checks. Back in 2014, 92 percent of gun owners supported expanding the regulation. Yet, when the Manchin-Toomey amendment was proposed back in 2013, the Senate GOP filibustered the legislation in defiance of nearly 90 percent of its voters. Why? Three words: National Rifle Association. The only constituency that matters to the congressional Republicans. It s an almost awe-inspiring dynamic   the NRA s extremist agenda is a higher legislative priority for the GOP than 87 percent of Republican voters.Furthermore, the president s order is, as Scarborough said, not that  far reaching.  Back in 2013, the president announced much more stringent and comprehensive regulations on gun ownership. The president, at the time, tried to resurrect the expired assault weapons ban and close all of the loopholes created by the NRA in 1994. There were bullet control  proposals: no more magazines larger than 10 rounds, and no more armor-piercing bullets. Today, however, the president s actions are limited to just the background checks and additional funding for the FBI and ATF. Nothing else. But that won t stop the relentless lies and fear-mongering by the GOP, telling its people that Obama s out to confiscate their guns. As much as I d like it to happen, it won t.Featured image via video screen grab.",FAKE
"  What Dan Rather Has To Say About Trump’s ‘Deadly Serious’ Flynn Scandal Is ‘Chilling’ On Tuesday afternoon, legendary journalist Dan Rather weighed in on the Trump administration s latest scandal involving former national security advisor Michael Flynn s collusion with Russia. Watergate is the biggest political scandal of my lifetime, until maybe now. It was the closest we came to a debilitating Constitutional crisis, until maybe now,  Rather began. He explained that while he rates Watergate as a 9, and the Flynn scandal is only at a 5 or 6 right now, the situation  is cascading in intensity seemingly by the hour.  In hindsight, he said, we may one day see that  this is at least as big as Watergate.  This  is chilling,  Rather said. When we look back at Watergate, we remember the end of the Nixon Presidency. It came with an avalanche,  Rather continued. But up until then, things had  rumbled along with a low-grade intensity.  Things are different this time around.  This Russia story started out with an avalanche and where we go from here no one really knows,  he explained.We are still less than a month into the Trump Presidency, and many are asking that question made famous by Tennessee Senator Howard Baker those many years ago:  What did the President know, and when did he know it? Rather noted that recent reports indicate that Trump has been aware of Flynn s treasonous conversations for weeks. This leads him to ask,  how far does this go? The White House has no credibility on this issue. Their spigot of lies   can t we finally all agree to call them lies   long ago lost them any semblance of credibility. I would also extend that to the Republican Congress, who has excused away the Trump Administration s assertions for far too long. We need an independent investigation. Damn the lies, full throttle forward on the truth,  declared the famed journalist. He added that truth is definitely proving to be stranger than fiction when it comes to Trump s scandal-ridden presidency. If a scriptwriter had approached Hollywood with what we are witnessing, he or she would probably have been told it was way too far-fetched for even a summer blockbuster. But this is not fiction,  Rather said.  It is real and it is serious. Deadly serious. We deserve answers and those who are complicit in this scandal need to feel the full force of justice. You can read Rather s post in its entirety here: Featured image by Robin Marchant via Getty Images for AWXI",FAKE
"  Republican: Porn Is Worse Than Cocaine, Gov’t Has To Act On ‘Public Health Crisis’ A Republican state senator in Utah believes that porn is such a threat to public health that he is proposing legislation to make the state take his aversion to skin flicks official. Whatever happened to limited government?Sen. Todd Weiler introduced his legislation on Friday, asking that the state recognize that porn is creating a public health hazard. He called for a reform to take on the  pornography epidemic that is harming the citizens of Utah and the nation. The politician told the Daily News that porn was more addictive than powerful drugs, and the public needed to start seeing adult films as a national epidemic. I have read books and I have experts tell me pornography is more difficult to overcome than cocaine,  he said.Weiler, 48, compares public attitudes on adult films in 2016 to early 20th century feelings about cigarettes, where doctors openly smoked and airplanes had smoking sections. He believes that his legislation will help to shift public opinion.The state senator made another strange comparison in an interview with a newspaper. Despite most Republican conservatives denying the existence of climate change, Weiler said denying the negative health effects of adult films was like denying climate science:  These are scientific facts, just like global warming. The legislator cited his experience as a divorce lawyer in providing him with an expert, insider point of view on the purported destruction that adult material can inflict on married couples.Weiler did draw a line in the sand for his proposed bill:  We re not going to outlaw masturbation in Utah. Even in a religiously conservative state like Utah, Weiler probably faces an uphill challenge in changing public attitudes. The state ranks as the #1 buyer of adult films in a 2009 survey, and a Harvard study showed that more than 5 out of every 1,000 households in Uitah paid for adult content online. Featured image from YouTube",FAKE
" Trump, under fire on many fronts, expands campaign team WASHINGTON (Reuters) - Donald Trump, under pressure to show a more presidential image, elevated a top adviser on Thursday and said he planned to hire additional staff to prepare for the possibility of a long fight for the Republican nomination. The developments came as Trump tries to rebound from a loss in Wisconsin on Tuesday to U.S. Senator Ted Cruz of Texas, a defeat that punctured the billionaire businessman’s aura of inevitability and made it more likely the nominee will be picked in a floor fight at the Republican National Convention in July.  The Republican front-runner’s stumble in Wisconsin exposed a variety of weaknesses. Trump alienated many female Republican voters by saying that women who have an abortion if the procedure were banned should be punished, a position he later backtracked on.  He also appeared to have been outmaneuvered in the scramble for delegates in Louisiana. Although Trump beat Cruz in that state on March 5, Cruz may end up with more delegates from Louisiana than Trump. Trump announced that he has assigned all functions related to the nomination process to veteran political operative Paul Manafort, who was hired to manage the process of corralling delegates who will pick the nominee. “The nomination process has reached a point that requires someone familiar with the complexities involved in the final stages,” Trump said. Trump also canceled plans for a campaign swing through California in coming days in order to concentrate on New York, which has suddenly emerged as a must-win state for him on April 19. He has a big lead in his home state. A Trump campaign statement said that he will add to his team as the Republican National Convention nears and that he would announce new hires in the weeks ahead.  The expansion of Trump’s campaign means his team will grow beyond the close-knit group of advisers who have been at his side since he jumped into the presidential race last June. Trump said he plans to open a Washington office next week. While there has been speculation that Trump might make Manafort his campaign manager, the candidate’s statement made clear that current campaign manager Corey Lewandowski and deputy manager Michael Glassner would remain in their positions. Lewandowski has been charged with simple battery for grabbing a reporter who tried to ask Trump a question in Florida a month ago. Trump, famously loyal to people he trusts, has rejected calls that he fire Lewandowski. ",FAKE
" FLASHBACK: NANCY PELOSI Makes Outrageous Claim About Trump And “Guns, God, And Gays [Video] What a disgusting, out of touch racist she is. The Democratic Party does nothing other than play identity politics and further divide the country. ",FAKE
